# 用户画像数据汇总

## 性别分布
性别,香蕉,南瓜,合计,香蕉占比,南瓜占比,合计占比
男性,92,169,261,78.63247863247864,18.571428571428573,25.413826679649464
女性,17,643,660,14.529914529914532,70.65934065934066,64.26484907497566
未知,8,98,106,6.837606837606838,10.76923076923077,10.321324245374878

## 年龄分布
年龄段,香蕉,南瓜,合计,香蕉占比,南瓜占比,合计占比
17岁以下,4,83,87,3.418803418803419,9.12087912087912,8.471275559883155
18-24岁,15,50,65,12.82051282051282,5.4945054945054945,6.329113924050633
25-29岁,10,94,104,8.547008547008547,10.329670329670328,10.126582278481013
30-39岁,62,342,404,52.991452991452995,37.582417582417584,39.337877312560856
40-49岁,16,213,229,13.675213675213676,23.406593406593405,22.297955209347613
50岁以上,6,101,107,5.128205128205128,11.098901098901099,10.41869522882181
未知,4,27,31,3.418803418803419,2.9670329670329667,3.0185004868549172
