剧名,频道,题材
新婚后，大叔全家爆宠我,女频,都市
金牌替身,女频,都市
替嫁后，沉睡老公超会撩,女频,都市
家有财神小福星日进斗金,女频,都市
渊狐记：重生不负心,男频,玄幻
极热65度：老公中奖2亿当天我连夜回村独美,女频,都市
双鲤换生，这一世我所向披靡,男频,玄幻
入住月子中心当天老公让我写借条,女频,都市
盲眼妖师,男频,玄幻
战神后妈掀桌了,女频,都市
乙游系统觉醒，我在星际撩疯了,女频,都市
我在诡异游戏当食堂阿姨,女频,末世
祭品公主的生存法则,女频,玄幻
9个南瓜换我余生自由,女频,都市
末世冥婚，重生后我驭诡称王,男频,末世
全城饿疯我靠养猪救苍生,男频,末世
重生回挑选异兽那天,男频,玄幻
诡异游戏boss竟是我男友,女频,末世
天生贵命,女频,都市
诡行异闻录之怒水惊魂,男频,玄幻
女儿失踪后，警察给我带回了两个,女频,都市
奶娃魔尊,男频,玄幻
帝凰之神医弃妃,女频,玄幻
夏可可的末世求生日记,女频,末世
超绝虎王,男频,玄幻
农女殊色,女频,都市
自爆祖师,男频,玄幻
全民转职：你职业竟然是皇帝,男频,玄幻
和姐姐交换魅魔体质后,女频,都市
沦陷契约,女频,都市
沦陷契约第二季,女频,都市
满级小妈豪门猎杀,女频,都市
皇兄抢先选了丑陋蝙蝠,男频,玄幻
福宝驾到八个舅舅宠上天,女频,都市
绑定国运，开局扮演瞎眼剑客,男频,玄幻
继母觉醒以后,女频,都市
腹黑丫鬟上位记,女频,都市
萌宝被狂宠双爹抢我抚养权,女频,都市
这个男人是真的狗,女频,都市
退休金给儿子，养老找女儿,女频,都市
闪婚狼太子,女频,都市
饿龙小姐的专属骑士,女频,都市
