视频号关注者增长详情数据,,,,,
由于服务器缓存，以及指标计算方法和统计时间的差异，数据可能存在微小误差，一般在1%左右，不影响分析结果。,,,,,
"时间","净增关注","新增关注","取消关注","关注者总数"
"2026/04/30",0,1,1,97
"2026/04/29",-1,0,1,97
"2026/04/28",35,35,0,98
"2026/04/27",10,10,0,63
"2026/04/26",0,0,0,53
"2026/04/25",1,1,0,53
"2026/04/24",2,2,0,52
"2026/04/23",11,11,0,50
"2026/04/22",0,0,0,39
"2026/04/21",0,0,0,39
"2026/04/20",7,7,0,39
"2026/04/19",0,0,0,32
"2026/04/18",13,14,1,32
"2026/04/17",10,10,0,19
"2026/04/16",1,1,0,9
"2026/04/15",4,4,0,8
"2026/04/14",2,2,0,4
"2026/04/13",0,0,0,2
"2026/04/12",0,0,0,2
"2026/04/11",0,0,0,2
"2026/04/10",1,1,0,2
"2026/04/09",0,0,0,1
"2026/04/08",0,0,0,1
"2026/04/07",0,0,0,1
"2026/04/06",0,0,0,1
"2026/04/05",0,0,0,1
"2026/04/04",0,0,0,1
"2026/04/03",0,0,0,1
"2026/04/02",0,0,0,1
"2026/04/01",0,0,0,1
