视频号视频详情数据,,,,,
由于服务器缓存，以及指标计算方法和统计时间的差异，数据可能存在微小误差，一般在1%左右，不影响分析结果。,,,,,
"时间","播放","推荐","喜欢","评论","分享","关注"
"2026/04/30",7737,0,4,0,5,0
"2026/04/29",12896,7,20,2,2,0
"2026/04/28",42825,22,80,3,48,35
"2026/04/27",16104,14,38,2,16,10
"2026/04/26",518,1,0,0,1,0
"2026/04/25",244,1,2,0,2,1
"2026/04/24",1499,1,7,0,2,2
"2026/04/23",10977,10,28,1,8,11
"2026/04/22",1354,0,3,0,2,0
"2026/04/21",6874,4,10,1,3,0
"2026/04/20",15880,9,37,2,4,7
"2026/04/19",407,32,48,0,0,0
"2026/04/18",14016,13,67,2,12,13
"2026/04/17",30025,13,43,0,14,10
"2026/04/16",4688,12,8,0,2,1
"2026/04/15",17363,9,27,0,3,4
"2026/04/14",0,0,0,0,0,2
"2026/04/13",0,0,0,0,0,0
"2026/04/12",0,0,0,0,0,0
"2026/04/11",0,0,0,0,0,0
"2026/04/10",0,0,0,0,0,1
"2026/04/09",0,0,0,0,0,0
"2026/04/08",0,0,0,0,0,0
"2026/04/07",0,0,0,0,0,0
"2026/04/06",0,0,0,0,0,0
"2026/04/05",0,0,0,0,0,0
"2026/04/04",0,0,0,0,0,0
"2026/04/03",0,0,0,0,0,0
"2026/04/02",0,0,0,0,0,0
"2026/04/01",0,0,0,0,0,0
